 0.000  0.427936 6.016804 0.396863 6.078000 997.800354 0.000000 0.308534
 0.001  0.433933 5.999954 0.403108 6.218965 829.926880 0.000000 0.256626
 0.002  0.439913 5.982868 0.409573 6.425723 587.305847 0.000000 0.181604
 0.003  0.445875 5.965545 0.415818 6.274039 713.353943 0.000000 0.220579
 0.004  0.451820 5.947987 0.421954 6.157798 806.501709 0.000000 0.249382
 0.005  0.457747 5.930194 0.428200 6.231604 703.121765 0.000000 0.217416
 0.006  0.463655 5.912168 0.434445 6.243293 661.625916 0.000000 0.204584
 0.007  0.469546 5.893907 0.440472 6.060713 822.955444 0.000000 0.254470
 0.008  0.475418 5.875414 0.446717 6.216227 634.470032 0.000000 0.196187
 0.009  0.481271 5.856689 0.452743 6.056426 771.050842 0.000000 0.238420
 0.010  0.487105 5.837733 0.458551 5.846684 964.663208 0.000000 0.298288
 0.011  0.492920 5.818546 0.464687 6.090112 688.476868 0.000000 0.212887
 0.012  0.498715 5.799129 0.471042 6.313099 424.567596 0.000000 0.131282
 0.013  0.504491 5.779484 0.477068 6.071769 639.924744 0.000000 0.197874
 0.014  0.510247 5.759611 0.482875 5.849114 842.982910 0.000000 0.260663
 0.015  0.515983 5.739510 0.488902 5.998281 662.112244 0.000000 0.204735
 0.016  0.521698 5.719182 0.495038 6.114123 510.240234 0.000000 0.157774
 0.017  0.527393 5.698629 0.500954 5.948039 649.655579 0.000000 0.200883
 0.018  0.533067 5.677851 0.506871 5.921733 646.956848 0.000000 0.200048
 0.019  0.538720 5.656848 0.512788 5.917567 620.953857 0.000000 0.192008
 0.020  0.544351 5.635623 0.518595 5.824691 687.332947 0.000000 0.212533
 0.021  0.549962 5.614174 0.524402 5.809981 673.807190 0.000000 0.208351
 0.022  0.555550 5.592505 0.530319 5.899868 549.938843 0.000000 0.170049
 0.023  0.561117 5.570614 0.536017 5.729672 695.254333 0.000000 0.214983
 0.024  0.566661 5.548503 0.541714 5.702716 694.920959 0.000000 0.214880
 0.025  0.572183 5.526174 0.547631 5.882878 476.941132 0.000000 0.147477
 0.026  0.577682 5.503626 0.553329 5.726981 604.863037 0.000000 0.187032
 0.027  0.583159 5.480861 0.559136 5.794506 502.396210 0.000000 0.155348
 0.028  0.588612 5.457880 0.564834 5.712985 553.197876 0.000000 0.171057
 0.029  0.594043 5.434683 0.570422 5.607857 630.568420 0.000000 0.194981
 0.030  0.599450 5.411272 0.576119 5.683422 520.686462 0.000000 0.161004
 0.031  0.604833 5.387647 0.581707 5.603175 570.888977 0.000000 0.176527
 0.032  0.610192 5.363809 0.587295 5.590465 551.849548 0.000000 0.170640
 0.033  0.615527 5.339759 0.592993 5.680667 424.096558 0.000000 0.131137
 0.034  0.620838 5.315499 0.598472 5.510522 565.726013 0.000000 0.174931
 0.035  0.626125 5.291029 0.604060 5.575790 464.804718 0.000000 0.143724
 0.036  0.631386 5.266350 0.609648 5.586127 418.309052 0.000000 0.129347
 0.037  0.636623 5.241463 0.614907 5.311117 670.163574 0.000000 0.207224
 0.038  0.641835 5.216369 0.620495 5.544208 396.561523 0.000000 0.122623
 0.039  0.647021 5.191069 0.626083 5.581125 320.021515 0.000000 0.098955
 0.040  0.652182 5.165565 0.631343 5.310325 564.407959 0.000000 0.174523
 0.041  0.657317 5.139856 0.636821 5.451866 383.772797 0.000000 0.118668
 0.042  0.662426 5.113945 0.642190 5.382068 419.236664 0.000000 0.129634
 0.043  0.667509 5.087831 0.647559 5.371013 394.274384 0.000000 0.121915
 0.044  0.672565 5.061517 0.652928 5.369262 358.813629 0.000000 0.110950
 0.045  0.677595 5.035003 0.658516 5.553417 127.008553 0.000000 0.039273
 0.046  0.682599 5.008290 0.663885 5.398152 244.376358 0.000000 0.075565
 0.047  0.687575 4.981379 0.668816 5.004697 616.143188 0.000000 0.190520
 0.048  0.692524 4.954272 0.673965 5.126812 458.587891 0.000000 0.141802
 0.049  0.697446 4.926969 0.679225 5.238369 306.829681 0.000000 0.094876
 0.050  0.702340 4.899471 0.684155 4.979390 539.386108 0.000000 0.166786
 0.051  0.707207 4.871781 0.689524 5.307235 163.164108 0.000000 0.050453
 0.052  0.712045 4.843897 0.694784 5.266945 161.349045 0.000000 0.049891
 0.053  0.716856 4.815823 0.699824 5.076132 317.882965 0.000000 0.098294
 0.054  0.721638 4.787559 0.704645 4.861478 504.811401 0.000000 0.156095
 0.055  0.726392 4.759105 0.709685 5.011912 314.366425 0.000000 0.097207
 0.056  0.731117 4.730464 0.715054 5.312386 -39.995667 0.000000 -0.012367
 0.057  0.735813 4.701636 0.719875 4.898897 344.253632 0.000000 0.106448
 0.058  0.740480 4.672622 0.724806 4.925623 278.971832 0.000000 0.086262
 0.059  0.745118 4.643424 0.729517 4.745424 428.973267 0.000000 0.132645
 0.060  0.749727 4.614042 0.734448 4.901315 230.863022 0.000000 0.071386
 0.061  0.754306 4.584479 0.739269 4.833790 260.946228 0.000000 0.080688
 0.062  0.758855 4.554734 0.744200 4.915311 135.558304 0.000000 0.041917
 0.063  0.763374 4.524810 0.749240 5.020439 -18.611803 0.000000 -0.005755
 0.064  0.767863 4.494707 0.753842 4.668226 302.869171 0.000000 0.093652
 0.065  0.772322 4.464426 0.758663 4.796872 129.996384 0.000000 0.040197
 0.066  0.776750 4.433969 0.763265 4.632816 259.008362 0.000000 0.080089
 0.067  0.781148 4.403337 0.768196 4.883480 -43.278095 0.000000 -0.013382
 0.068  0.785514 4.372532 0.772688 4.554317 253.777786 0.000000 0.078472
 0.069  0.789850 4.341554 0.777400 4.686615 76.054802 0.000000 0.023517
 0.070  0.794155 4.310404 0.782001 4.615353 106.426872 0.000000 0.032909
 0.071  0.798428 4.279084 0.786603 4.604066 74.983025 0.000000 0.023186
 0.072  0.802670 4.247595 0.790986 4.417847 226.448303 0.000000 0.070021
 0.073  0.806880 4.215939 0.795479 4.480569 121.496910 0.000000 0.037569
 0.074  0.811058 4.184116 0.799861 4.398287 165.480911 0.000000 0.051169
 0.075  0.815204 4.152128 0.804354 4.477471 41.389774 0.000000 0.012798
 0.076  0.819318 4.119976 0.808517 4.213365 273.967407 0.000000 0.084715
 0.077  0.823399 4.087661 0.813010 4.448182 -9.843889 0.000000 -0.003044
 0.078  0.827448 4.055185 0.817283 4.300941 98.424232 0.000000 0.030434
 0.079  0.831465 4.022549 0.821666 4.369837 -16.616560 0.000000 -0.005138
 0.080  0.835448 3.989754 0.825720 4.104101 216.249191 0.000000 0.066867
 0.081  0.839399 3.956802 0.829993 4.246445 28.198721 0.000000 0.008719
 0.082  0.843316 3.923693 0.834047 4.084558 153.605545 0.000000 0.047497
 0.083  0.847201 3.890429 0.838320 4.243349 -53.636967 0.000000 -0.016585
 0.084  0.851051 3.857012 0.842265 3.991852 163.425690 0.000000 0.050534
 0.085  0.854868 3.823443 0.846538 4.228666 -125.215080 0.000000 -0.038718
 0.086  0.858652 3.789722 0.850483 3.989526 76.763611 0.000000 0.023736
 0.087  0.862401 3.755853 0.854646 4.136082 -119.589943 0.000000 -0.036979
 0.088  0.866117 3.721834 0.858481 3.882646 97.945839 0.000000 0.030286
 0.089  0.869798 3.687669 0.862535 4.026938 -95.009644 0.000000 -0.029378
 0.090  0.873445 3.653358 0.866370 3.865360 27.117971 0.000000 0.008385
 0.091  0.877057 3.618904 0.870096 3.747552 107.451843 0.000000 0.033226
 0.092  0.880635 3.584306 0.873931 3.821109 -10.553617 0.000000 -0.003263
 0.093  0.884178 3.549566 0.877656 3.740544 29.512644 0.000000 0.009126
 0.094  0.887686 3.514687 0.881601 3.912215 -193.984940 0.000000 -0.059983
 0.095  0.891159 3.479669 0.885216 3.662757 17.731543 0.000000 0.005483
 0.096  0.894597 3.444513 0.888942 3.715463 -80.811569 0.000000 -0.024988
 0.097  0.898000 3.409221 0.892339 3.447163 154.728241 0.000000 0.047844
 0.098  0.901367 3.373795 0.895845 3.496885 63.985485 0.000000 0.019785
 0.099  0.904698 3.338236 0.899570 3.689192 -179.589218 0.000000 -0.055532
 0.100  0.907994 3.302545 0.903076 3.535218 -67.299332 0.000000 -0.020810
