 0.000  0.953061 -2.700547 1.011112 -2.049483 -2637.138916 0.000000 -0.815442
 0.001  0.950315 -2.738192 1.008921 -2.168923 -2573.412842 0.000000 -0.795737
 0.002  0.947533 -2.775729 1.006839 -2.095625 -2709.259521 0.000000 -0.837743
 0.003  0.944712 -2.813157 1.004757 -2.084016 -2783.965088 0.000000 -0.860843
 0.004  0.941855 -2.850473 1.002456 -2.266609 -2656.213379 0.000000 -0.821340
 0.005  0.938960 -2.887677 1.000046 -2.387745 -2587.951416 0.000000 -0.800232
 0.006  0.936029 -2.924767 0.997745 -2.314715 -2720.681885 0.000000 -0.841275
 0.007  0.933060 -2.961742 0.995444 -2.303148 -2792.478271 0.000000 -0.863475
 0.008  0.930054 -2.998600 0.992924 -2.485748 -2661.831543 0.000000 -0.823077
 0.009  0.927012 -3.035339 0.990294 -2.606884 -2590.658691 0.000000 -0.801069
 0.010  0.923933 -3.071958 0.987774 -2.533855 -2720.457275 0.000000 -0.841205
 0.011  0.920818 -3.108456 0.985144 -2.614504 -2692.425293 0.000000 -0.832537
 0.012  0.917666 -3.144832 0.982405 -2.719493 -2637.188721 0.000000 -0.815457
 0.013  0.914478 -3.181083 0.979775 -2.643906 -2769.181152 0.000000 -0.856271
 0.014  0.911254 -3.217209 0.977146 -2.631934 -2838.026123 0.000000 -0.877559
 0.015  0.907994 -3.253207 0.974187 -2.906686 -2607.169922 0.000000 -0.806175
 0.016  0.904698 -3.289078 0.971339 -2.857986 -2707.828369 0.000000 -0.837300
 0.017  0.901367 -3.324818 0.968490 -2.850273 -2768.177490 0.000000 -0.855961
 0.018  0.898000 -3.360427 0.965422 -3.033483 -2629.302002 0.000000 -0.813019
 0.019  0.894597 -3.395904 0.962573 -2.878069 -2840.984619 0.000000 -0.878474
 0.020  0.891159 -3.431246 0.959615 -2.945670 -2824.754883 0.000000 -0.873455
 0.021  0.887686 -3.466453 0.956327 -3.233024 -2576.427734 0.000000 -0.796669
 0.022  0.884178 -3.501523 0.953150 -3.186321 -2670.291992 0.000000 -0.825693
 0.023  0.880635 -3.536455 0.949972 -3.178924 -2725.507812 0.000000 -0.842767
 0.024  0.877057 -3.571247 0.946685 -3.269968 -2678.605713 0.000000 -0.828264
 0.025  0.873445 -3.605898 0.943508 -3.192172 -2807.007080 0.000000 -0.867968
 0.026  0.869798 -3.640407 0.940001 -3.456498 -2579.688477 0.000000 -0.797677
 0.027  0.866117 -3.674773 0.936714 -3.313931 -2771.829590 0.000000 -0.857090
 0.028  0.862401 -3.708992 0.933208 -3.475783 -2650.055420 0.000000 -0.819436
 0.029  0.858652 -3.743066 0.929483 -3.685849 -2473.124268 0.000000 -0.764726
 0.030  0.854868 -3.776992 0.926086 -3.442473 -2766.386230 0.000000 -0.855407
 0.031  0.851051 -3.810769 0.922361 -3.680573 -2563.147705 0.000000 -0.792563
 0.032  0.847201 -3.844395 0.918964 -3.441637 -2853.918945 0.000000 -0.882473
 0.033  0.843316 -3.877870 0.915348 -3.588225 -2748.825439 0.000000 -0.849977
 0.034  0.839399 -3.911191 0.911513 -3.795874 -2575.568359 0.000000 -0.796403
 0.035  0.835448 -3.944359 0.907788 -3.736547 -2676.667969 0.000000 -0.827665
 0.036  0.831465 -3.977370 0.903734 -4.003798 -2437.681396 0.000000 -0.753767
 0.037  0.827448 -4.010224 0.899899 -3.861695 -2620.576172 0.000000 -0.810320
 0.038  0.823399 -4.042920 0.895735 -4.115835 -2393.009766 0.000000 -0.739954
 0.039  0.819318 -4.075457 0.891900 -3.879440 -2673.041260 0.000000 -0.826543
 0.040  0.815204 -4.107832 0.888065 -3.841998 -2753.069336 0.000000 -0.851289
 0.041  0.811058 -4.140046 0.884011 -4.020500 -2608.455811 0.000000 -0.806573
 0.042  0.806880 -4.172095 0.879848 -4.140987 -2519.626953 0.000000 -0.779105
 0.043  0.802670 -4.203981 0.875684 -4.160071 -2534.136230 0.000000 -0.783592
 0.044  0.798428 -4.235700 0.871520 -4.163094 -2565.780029 0.000000 -0.793377
 0.045  0.794155 -4.267252 0.867247 -4.255788 -2504.024658 0.000000 -0.774281
 0.046  0.789850 -4.298635 0.863083 -4.178254 -2618.835938 0.000000 -0.809782
 0.047  0.785514 -4.329850 0.858591 -4.442621 -2378.009277 0.000000 -0.735315
 0.048  0.781148 -4.360892 0.854318 -4.300061 -2556.536621 0.000000 -0.790518
 0.049  0.776750 -4.391763 0.849825 -4.461913 -2421.012451 0.000000 -0.748612
 0.050  0.772322 -4.422461 0.845443 -4.395332 -2520.812988 0.000000 -0.779472
 0.051  0.767863 -4.452983 0.840731 -4.661434 -2274.257812 0.000000 -0.703234
 0.052  0.763374 -4.483330 0.836239 -4.519149 -2448.502930 0.000000 -0.757113
 0.053  0.758855 -4.513500 0.831637 -4.588829 -2405.775391 0.000000 -0.743901
