 0.000  -0.086874 0.000000 -0.086874 -0.000000 0.300935 0.000000 0.000211
 0.001  -0.086874 0.000001 -0.086874 -0.000000 0.812039 0.000000 0.000568
 0.002  -0.086874 0.000003 -0.086874 -0.000000 1.527466 0.000000 0.001069
 0.003  -0.086874 0.000005 -0.086874 -0.000000 2.387807 0.000000 0.001671
 0.004  -0.086874 0.000007 -0.086874 -0.000000 3.345159 0.000000 0.002341
 0.005  -0.086874 0.000010 -0.086874 -0.000000 4.366126 0.000000 0.003056
 0.006  -0.086874 0.000014 -0.086874 -0.000000 5.429111 0.000000 0.003800
 0.007  -0.086874 0.000019 -0.086874 -0.000000 6.520774 0.000000 0.004564
 0.008  -0.086874 0.000024 -0.086874 -0.000000 7.633126 0.000000 0.005342
 0.009  -0.086874 0.000030 -0.086874 -0.000000 8.761485 0.000000 0.006132
 0.010  -0.086874 0.000036 -0.086874 -0.000000 9.903154 0.000000 0.006931
 0.011  -0.086874 0.000043 -0.086874 -0.000000 11.056599 0.000000 0.007738
 0.012  -0.086874 0.000051 -0.086874 -0.000000 12.220951 0.000000 0.008553
 0.013  -0.086874 0.000059 -0.086874 -0.000000 13.395724 0.000000 0.009376
 0.014  -0.086874 0.000068 -0.086874 -0.000000 14.580645 0.000000 0.010205
 0.015  -0.086874 0.000077 -0.086874 -0.000000 15.775559 0.000000 0.011041
 0.016  -0.086874 0.000088 -0.086874 -0.000000 16.980379 0.000000 0.011885
 0.017  -0.086874 0.000098 -0.086874 -0.000000 18.195053 0.000000 0.012735
 0.018  -0.086873 0.000110 -0.086874 -0.000000 19.419548 0.000000 0.013592
 0.019  -0.086873 0.000122 -0.086874 -0.000000 20.653845 0.000000 0.014456
 0.020  -0.086873 0.000134 -0.086874 -0.000000 21.897923 0.000000 0.015326
 0.021  -0.086873 0.000148 -0.086874 -0.000000 23.151773 0.000000 0.016204
 0.022  -0.086873 0.000161 -0.086874 -0.000000 24.415386 0.000000 0.017088
 0.023  -0.086873 0.000176 -0.086874 -0.000000 25.688747 0.000000 0.017979
 0.024  -0.086872 0.000191 -0.086874 -0.000000 26.971851 0.000000 0.018878
 0.025  -0.086872 0.000207 -0.086874 -0.000000 28.264685 0.000000 0.019782
 0.026  -0.086872 0.000223 -0.086874 -0.000000 29.567242 0.000000 0.020694
 0.027  -0.086872 0.000240 -0.086874 -0.000000 30.879511 0.000000 0.021612
 0.028  -0.086871 0.000257 -0.086874 -0.000000 32.201485 0.000000 0.022538
 0.029  -0.086871 0.000275 -0.086874 -0.000000 33.533150 0.000000 0.023470
 0.030  -0.086871 0.000294 -0.086874 -0.000000 34.874500 0.000000 0.024409
